"Var","00 - B","00 - M","01 - B","01 - M","11 - B","11 - M","All - B","All - M"
"st_ct"," 1","70","130","130","15","15","206","215"
"hhs","  67","1248","6178","2089","522","170","8554","3507"
"ppl"," 355","7378","34079","12321","2821"," 921","46905","20620"
"wp_prblm_taste_rcd"," 0","35","394"," 38","123","  1","1221","  74"
"wp_prblm_smell_rcd"," 0","39","657"," 57","203","  1","1673","  97"
"wp_prblm_color_rcd","67","48","3450","  38","313","  3","4826","  89"
"wp_prblm_cloudy_rcd"," 0","51"," 3","84","84"," 9","702","144"
"ho_diar_rcd","24","57","1683"," 122","186"," 13","2509"," 192"
"ho_typh_rcd"," 0","94","  2","187","82","18","382","299"
"ho_malr_rcd","  0","777"," 587","1341","286"," 93","2271","2211"
"ho_dysn_rcd"," 0","14","1","4","9","0","81","18"
"ho_resp_rcd","  0","377","675","579","120"," 39","1212"," 995"
"ho_skin_rcd","  7","101","595","219","46","17","792","337"
"ho_eyin_rcd"," 0","74"," 10","149"," 4","11"," 70","234"
"ho_wrms_rcd","  0","147","675","259","82","25","1224"," 431"
"ho_othr_1_rcd"," 0","65","  1","110","15"," 5"," 44","180"
"ho_othr_2_rcd","NA","NA","NA","NA","NA","NA","NA","NA"
"ho_dk_rcd","  0","109"," 0","92","0","6"," 94","207"
"ft_lt_30M","  0","599","930","980","136"," 89","1860","1668"
"ft_30_60M"," 54","615","2635","1072","288"," 80","3799","1767"
"ft_gt_120M","0","4","323","  3","0","0","344","  7"
"ft_gt_60M","13","29","2187","  33","98"," 0","2443","  62"
"ft_gt_180M","0","1","101","  0","0","1","106","  2"
"ftch_tm_NA","0","0","2","1","0","0","2","1"
"sf_NoBush","32"," 9","1701","  20","113","  2","2051","  31"
"sf_ImpLatr"," 1","52","1066"," 107","68","10","1235"," 169"
"sf_Pit"," 34","195","3383"," 354","143"," 20","3872"," 569"
"sf_Latr","  0","886","  28","1413","136","118","1009","2417"
"sf_.NoNghbr","  0","106","  0","194","58","20","364","320"
"san_fac_NA","0","0","0","1","4","0","23"," 1"
"wp_prblm_taste_rcd_na","  0","336","1674"," 395","121"," 31","1940"," 762"
"wp_prblm_smell_rcd_na","  0","336","1674"," 395","121"," 31","1940"," 762"
"wp_prblm_color_rcd_na","  0","336","1674"," 395","121"," 31","1940"," 762"
"wp_prblm_cloudy_rcd_na","  0","336","1674"," 395","121"," 31","1940"," 762"
"ho_diar_rcd_na","37","53","3228","  80","110"," 18","3430"," 151"
"ho_typh_rcd_na","37","53","3228","  80","110"," 18","3430"," 151"
"ho_malr_rcd_na","37","53","3228","  80","110"," 18","3430"," 151"
"ho_dysn_rcd_na","37","53","3228","  80","110"," 18","3430"," 151"
"ho_resp_rcd_na","37","53","3228","  80","110"," 18","3430"," 151"
"ho_skin_rcd_na","37","53","3228","  80","110"," 18","3430"," 151"
"ho_eyin_rcd_na","37","53","3228","  80","110"," 18","3430"," 151"
"ho_wrms_rcd_na","37","53","3228","  80","110"," 18","3430"," 151"
"ho_othr_1_rcd_na","37","53","3228","  80","110"," 18","3430"," 151"
"ho_othr_2_rcd_na","  67","1248","6178","2089","522","170","8554","3507"
"ho_dk_rcd_na","  67","1139","6178","1997","522","164","8460","3300"
"fnct_wp","","91.5","","212.5","","16","","320"
"fnct_wp_na","NA","NA","NA","NA","NA","NA","NA","NA"
"fnct_wp_tt","","112","","246","","18","","376"
"strd_fees_sum","","5505900","","15964030","","901000","","22370930"
"strd_fees_none","","17","","20","","1","","38"
"fnct_wq","","132.5","","290","","26","","448.5"
"fnct_wq_na","NA","NA","NA","NA","NA","NA","NA","NA"
"fnct_wq_tt","","156","","342","","27","","525"
"tst_rslt_elec_amt","","16733.7","","26083.1","","1659","","44475.8"
"tst_rslt_elec_amt_na","","52","","121","","12","","185"
"tst_rslt_elec_amt_tt","","104","","221","","15","","340"
"tst_rslt_temp_amt","","1556.2","","3708.4","","351.6","","5616.2"
"tst_rslt_temp_amt_na","","94","","195","","14","","303"
"tst_rslt_temp_amt_tt","","62","","147","","13","","222"
"tst_rslt_trbd_amt","","669","","1731.5","","155","","2555.5"
"tst_rslt_trbd_amt_na","","5","","4","","0","","9"
"tst_rslt_trbd_amt_tt","","151","","338","","27","","516"
"tst_rslt_nitrite_amt","NA","NA","NA","NA","NA","NA","NA","NA"
"tst_rslt_nitrite_amt_na","","156","","342","","27","","525"
"tst_rslt_nitrite_amt_tt","NA","NA","NA","NA","NA","NA","NA","NA"
"tst_rslt_nitrate_amt","NA","NA","NA","NA","NA","NA","NA","NA"
"tst_rslt_nitrate_amt_na","","156","","342","","27","","525"
"tst_rslt_nitrate_amt_tt","NA","NA","NA","NA","NA","NA","NA","NA"
"tst_rslt_fl_amt","NA","NA","NA","NA","NA","NA","NA","NA"
"tst_rslt_fl_amt_na","","156","","342","","27","","525"
"tst_rslt_fl_amt_tt","NA","NA","NA","NA","NA","NA","NA","NA"
"tst_rslt_arsnc_amt","NA","NA","NA","NA","NA","NA","NA","NA"
"tst_rslt_arsnc_amt_na","","156","","342","","27","","525"
"tst_rslt_arsnc_amt_tt","NA","NA","NA","NA","NA","NA","NA","NA"
"tst_rslt_ecoli_amt","","299.5","","7552.4","","167","","8018.9"
"tst_rslt_ecoli_amt_na","","54","","116","","3","","173"
"tst_rslt_ecoli_amt_tt","","102","","226","","24","","352"
"tst_rslt_fcoli_amt","","2765","","6596.5","","119","","9480.5"
"tst_rslt_fcoli_amt_na","","105","","226","","24","","355"
"tst_rslt_fcoli_amt_tt","","51","","116","","3","","170"
"ecoli_risk_l","","42","","73","","10","","125"
"ecoli_risk_i","","16","","25","","0","","41"
"ecoli_risk_h","","4","","16","","3","","23"
"ecoli_risk_v","","1","","13","","0","","14"
